Count of A1C Result Value,A1c Min Value,A1c Avg Value,A1c Max Value
3,8,8.7,9.5
3,6.2,7.13,8.9
5,7.6,8.6,9.4
6,6.1,7.28,10
6,6.2,6.6,7.3
5,6.7,7.24,7.8
5,6.5,6.6,6.7
5,6.8,8,8.8
5,6.9,7.88,8.3
5,8.7,10.94,12.5
4,6.8,7.7,9
7,6.3,7.36,9.2
6,11.7,12.48,13.5
4,6.2,7.03,8
8,6.8,7.51,8.5
10,7.5,8.35,10.2
4,8.5,8.78,9.4
3,6.1,6.47,6.7
5,6.8,6.9,7.1
10,6.7,8.65,10.8
5,8.7,10.1,12.3
5,7.7,8.7,9.2
4,5.5,5.55,5.7
4,5.3,5.43,5.6
5,12,12.62,13.4
3,6.3,6.83,7.1
5,7.5,8.08,8.9
4,5.9,6.58,7.5
4,6.5,6.65,7
1,7.7,7.7,7.7
8,6.9,7.39,8.5
4,9.8,10.08,10.3
6,9.9,10.2,10.5
1,6,6,6
5,6.6,7.16,8.3
5,6.3,6.46,6.7
5,7.4,7.88,8.3
6,9.4,11.18,11.9
